Company Name,Category,Sub Cat,Period, Value - Randomized 
Potato Inc.,Revenue By Product,Tablets,2022 Q1,"57,984,000,000"
Potato Inc.,Revenue By Product,Tablets,2022 Q2,"68,814,000,000"
Potato Inc.,Revenue By Product,Tablets,2022 Q3,"21,672,000,000"
Potato Inc.,Revenue By Product,Tablets,2022 Q4,"35,870,000,000"
Potato Inc.,Revenue By Product,Tablets,2023 Q2,"50,176,000,000"
Potato Inc.,Revenue By Product,Tablets,2023 Q3,"46,328,000,000"
Potato Inc.,Revenue By Product,Tablets,2023 Q1,"59,616,000,000"
Potato Inc.,Revenue By Product,Smartphones,2022 Q1,"573,000,000,000"
Potato Inc.,Revenue By Product,Smartphones,2022 Q2,"253,000,000,000"
Potato Inc.,Revenue By Product,Smartphones,2022 Q3,"203,000,000,000"
Potato Inc.,Revenue By Product,Smartphones,2022 Q4,"128,000,000,000"
Potato Inc.,Revenue By Product,Smartphones,2023 Q2,"205,000,000,000"
Potato Inc.,Revenue By Product,Smartphones,2023 Q3,"159,000,000,000"
Potato Inc.,Revenue By Product,Smartphones,2023 Q1,"460,000,000,000"
Potato Inc.,Revenue By Product,Services,2023 Q1,"125,000,000,000"
Potato Inc.,Revenue By Product,Services,2022 Q1,"137,000,000,000"
Potato Inc.,Revenue By Product,Services,2022 Q2,"79,284,000,000"
Potato Inc.,Revenue By Product,Services,2022 Q3,"137,000,000,000"
Potato Inc.,Revenue By Product,Services,2022 Q4,"173,000,000,000"
Potato Inc.,Revenue By Product,Services,2023 Q2,"167,000,000,000"
Potato Inc.,Revenue By Product,Services,2023 Q3,"63,639,000,000"
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2022 Q1,"39,240,000,000"
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2022 Q2,"28,168,000,000"
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2022 Q3,"24,600,000,000"
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2022 Q4,"50,984,000,000"
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2023 Q2,"48,714,000,000"
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2023 Q3,"22,520,000,000"
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2023 Q1,"38,140,000,000"
Potato Inc.,Revenue By Product,Other,2023 Q1,"80,892,000,000"
Potato Inc.,Revenue By Product,Other,2022 Q1,"58,804,000,000"
Potato Inc.,Revenue By Product,Other,2022 Q2,"79,254,000,000"
Potato Inc.,Revenue By Product,Other,2022 Q3,"32,336,000,000"
Potato Inc.,Revenue By Product,Other,2022 Q4,"48,250,000,000"
Potato Inc.,Revenue By Product,Other,2023 Q2,"35,028,000,000"
Potato Inc.,Revenue By Product,Other,2023 Q3,"24,852,000,000"
Potato Inc.,Revenue By Region,Japan,2022 Q1,"49,749,000,000"
Potato Inc.,Revenue By Region,Japan,2022 Q2,"15,448,000,000"
Potato Inc.,Revenue By Region,Japan,2022 Q3,"43,568,000,000"
Potato Inc.,Revenue By Region,Japan,2022 Q4,"45,600,000,000"
Potato Inc.,Revenue By Region,Japan,2023 Q2,"43,056,000,000"
Potato Inc.,Revenue By Region,Japan,2023 Q3,"33,747,000,000"
Potato Inc.,Revenue By Region,Japan,2023 Q1,"20,265,000,000"
Potato Inc.,Revenue By Region,Greater China,2022 Q1,"129,000,000,000"
Potato Inc.,Revenue By Region,Greater China,2022 Q2,"91,715,000,000"
Potato Inc.,Revenue By Region,Greater China,2022 Q3,"43,812,000,000"
Potato Inc.,Revenue By Region,Greater China,2022 Q4,"92,820,000,000"
Potato Inc.,Revenue By Region,Greater China,2023 Q2,"53,436,000,000"
Potato Inc.,Revenue By Region,Greater China,2023 Q3,"110,000,000,000"
Potato Inc.,Revenue By Region,Greater China,2023 Q1,"191,000,000,000"
Potato Inc.,Revenue By Region,Europe,2022 Q1,"208,000,000,000"
Potato Inc.,Revenue By Region,Europe,2022 Q2,"116,000,000,000"
Potato Inc.,Revenue By Region,Europe,2022 Q3,"174,000,000,000"
Potato Inc.,Revenue By Region,Europe,2022 Q4,"182,000,000,000"
Potato Inc.,Revenue By Region,Europe,2023 Q2,"95,780,000,000"
Potato Inc.,Revenue By Region,Europe,2023 Q3,"162,000,000,000"
Potato Inc.,Revenue By Region,Europe,2023 Q1,"194,000,000,000"
Potato Inc.,Revenue By Product,Computers,2023 Q1,"61,880,000,000"
Potato Inc.,Revenue By Product,Computers,2022 Q1,"54,260,000,000"
Potato Inc.,Revenue By Product,Computers,2022 Q2,"52,175,000,000"
Potato Inc.,Revenue By Product,Computers,2022 Q3,"59,056,000,000"
Potato Inc.,Revenue By Product,Computers,2022 Q4,"23,016,000,000"
Potato Inc.,Revenue By Product,Computers,2023 Q2,"46,690,000,000"
Potato Inc.,Revenue By Product,Computers,2023 Q3,"34,200,000,000"
Potato Inc.,Revenue By Region,Americas,2022 Q1,"360,000,000,000"
Potato Inc.,Revenue By Region,Americas,2022 Q2,"204,000,000,000"
Potato Inc.,Revenue By Region,Americas,2022 Q3,"337,000,000,000"
Potato Inc.,Revenue By Region,Americas,2022 Q4,"279,000,000,000"
Potato Inc.,Revenue By Region,Americas,2023 Q1,"197,000,000,000"
Potato Inc.,Revenue By Region,Americas,2023 Q2,"189,000,000,000"
Potato Inc.,Revenue By Region,Americas,2023 Q3,"177,000,000,000"
